i,val
191,2.5461840000000000e-10
192,1.6577259999999999e-10
193,1.0312179999999999e-10
194,6.0912299999999996e-11
195,0.0000000000000000e+00
196,0.0000000000000000e+00
197,0.0000000000000000e+00
198,0.0000000000000000e+00
199,0.0000000000000000e+00
200,2.1459020000000000e-08
201,1.6400110000000000e-08
202,1.1946920000000000e-08
203,8.3957440000000007e-09
204,5.6470459999999998e-09
205,3.6414450000000001e-09
206,2.3495240000000000e-09
207,1.5313730000000000e-09
208,1.0216090000000000e-09
209,6.9527019999999998e-10
210,4.7648760000000004e-10
211,3.2287059999999998e-10
212,2.1258369999999999e-10
213,1.3422460000000000e-10
214,8.0622479999999999e-11
215,0.0000000000000000e+00
216,0.0000000000000000e+00
217,0.0000000000000000e+00
218,0.0000000000000000e+00
219,0.0000000000000000e+00
220,2.5164569999999999e-08
221,1.9436950000000001e-08
222,1.4257280000000000e-08
223,1.0089349999999999e-08
224,6.8406959999999997e-09
225,4.4171590000000002e-09
226,2.8394810000000001e-09
227,1.8410650000000000e-09
228,1.2207089999999999e-09
229,8.2740250000000003e-10
230,5.6688260000000001e-10
231,3.8550459999999998e-10
232,2.5554640000000000e-10
233,1.6278680000000000e-10
234,9.8741899999999998e-11
235,0.0000000000000000e+00
236,0.0000000000000000e+00
237,0.0000000000000000e+00
238,0.0000000000000000e+00
239,0.0000000000000000e+00
240,2.8593379999999999e-08
241,2.2533679999999999e-08
242,1.6783200000000000e-08
243,1.1994859999999999e-08
244,8.2562549999999998e-09
245,5.4128800000000000e-09
246,3.4632580000000001e-09
247,2.2349010000000001e-09
248,1.4634760000000000e-09
249,9.8044189999999996e-10
250,6.6685900000000000e-10
251,4.5323490000000001e-10
252,3.0234260000000001e-10
253,1.9496590000000001e-10
254,1.2026030000000000e-10
255,0.0000000000000000e+00
256,0.0000000000000000e+00
257,0.0000000000000000e+00
258,0.0000000000000000e+00
259,0.0000000000000000e+00
260,3.5815070000000003e-08
261,2.8868729999999999e-08
262,2.1869259999999999e-08
263,1.5822610000000000e-08
264,1.1042040000000000e-08
265,7.3435499999999999e-09
266,4.6909999999999996e-09
267,3.0087809999999999e-09
268,1.9462850000000000e-09
269,1.2887950000000000e-09
270,8.7011750000000002e-10
271,5.9101450000000000e-10
272,3.9681170000000002e-10
273,2.5904340000000002e-10
274,1.6241920000000000e-10
275,0.0000000000000000e+00
276,0.0000000000000000e+00
277,0.0000000000000000e+00
278,0.0000000000000000e+00
279,0.0000000000000000e+00
280,4.9654780000000000e-08
281,4.1848630000000001e-08
282,3.3010049999999999e-08
283,2.4592279999999999e-08
284,1.7569200000000001e-08
285,1.2065790000000000e-08
286,7.8764420000000008e-09
287,5.0029630000000000e-09
288,3.1887820000000000e-09
289,2.0568630000000000e-09
290,1.3549959999999999e-09
291,9.0686079999999995e-10
292,6.0821089999999999e-10
293,4.0201599999999999e-10
294,2.5813740000000000e-10
295,0.0000000000000000e+00
296,0.0000000000000000e+00
297,0.0000000000000000e+00
298,0.0000000000000000e+00
299,0.0000000000000000e+00
300,8.5469590000000000e-07
301,6.6117020000000002e-07
302,4.9976569999999995e-07
303,3.6408519999999998e-07
304,2.3668440000000000e-07
305,1.5016129999999999e-07
306,9.3922260000000002e-08
307,5.9943530000000000e-08
308,0.0000000000000000e+00
309,0.0000000000000000e+00
310,0.0000000000000000e+00
311,0.0000000000000000e+00
312,0.0000000000000000e+00
313,0.0000000000000000e+00
314,0.0000000000000000e+00
315,0.0000000000000000e+00
316,0.0000000000000000e+00
317,0.0000000000000000e+00
318,0.0000000000000000e+00
319,0.0000000000000000e+00
320,1.0835350000000000e-06
321,8.4107319999999996e-07
322,6.3552599999999997e-07
323,4.6548070000000001e-07
324,3.0419049999999999e-07
325,1.9275360000000001e-07
326,1.2056839999999999e-07
327,7.6780639999999996e-08
328,0.0000000000000000e+00
329,0.0000000000000000e+00
330,0.0000000000000000e+00
331,0.0000000000000000e+00
332,0.0000000000000000e+00
333,0.0000000000000000e+00
334,0.0000000000000000e+00
335,0.0000000000000000e+00
336,0.0000000000000000e+00
337,0.0000000000000000e+00
338,0.0000000000000000e+00
339,0.0000000000000000e+00
340,1.2906359999999999e-06
341,1.0038830000000000e-06
342,7.5838290000000003e-07
343,5.5723429999999995e-07
344,3.6527949999999999e-07
345,2.3129689999999999e-07
346,1.4468150000000001e-07
347,9.2017260000000000e-08
348,0.0000000000000000e+00
349,0.0000000000000000e+00
350,0.0000000000000000e+00
351,0.0000000000000000e+00
352,0.0000000000000000e+00
353,0.0000000000000000e+00
354,0.0000000000000000e+00
355,0.0000000000000000e+00
356,0.0000000000000000e+00
357,0.0000000000000000e+00
358,0.0000000000000000e+00
359,0.0000000000000000e+00
360,5.7046969999999997e-07
361,5.0823630000000003e-07
362,3.9948030000000000e-07
363,2.9981869999999999e-07
364,2.2973770000000001e-07
365,1.5038179999999999e-07
366,9.5429530000000004e-08
367,5.8485450000000002e-08
368,3.6265920000000003e-08
369,0.0000000000000000e+00
370,0.0000000000000000e+00
371,0.0000000000000000e+00
372,0.0000000000000000e+00
373,0.0000000000000000e+00
374,0.0000000000000000e+00
375,0.0000000000000000e+00
376,0.0000000000000000e+00
377,0.0000000000000000e+00
378,0.0000000000000000e+00
379,0.0000000000000000e+00
380,8.2543079999999999e-07
381,7.3924170000000002e-07
382,5.8350620000000005e-07
383,4.3773279999999998e-07
384,3.3568359999999998e-07
385,2.2164390000000000e-07
386,1.4012360000000000e-07
387,8.6012120000000001e-08
388,5.3282670000000002e-08
389,0.0000000000000000e+00
390,0.0000000000000000e+00
391,0.0000000000000000e+00
392,0.0000000000000000e+00
393,0.0000000000000000e+00
394,0.0000000000000000e+00
395,0.0000000000000000e+00
396,0.0000000000000000e+00
